Empresa,Direcci√≥n,Tel√©fono,Aprobado Gustavo?,Mensaje enviado?,Fecha primer contacto,Cliente ha respondido?,N√∫mero inv√°lido para wpp?,
"CAMILLAS DE EMERGENCIA ,EXTINTORES,SEÑALIZACION Y DOTACION BUCARAMANGA","Cl. 30a #302, Bucaramanga, Santander, Colombia",+57 320 5299971,0,0,,0,,
Tecnologia Y Servicio Makitec,"Cra. 22 #35-63, Bucaramanga, Santander, Colombia",607 6321605,0,0,,0,,
Surtiespumas | Fábrica Colchones y espumas,"Cra. 12 ##33-10, Bucaramanga, Santander, Colombia",607 6424262,0,0,,0,,
Dusar Muebles,"Cra. 18 #38-54, Bucaramanga, Santander, Colombia",+57 7 6422214,0,0,,0,,
Pladesan,"Cra. 15 ##3-34, Bucaramanga, Santander, Colombia",+57 315 3723636,0,0,,0,,
Madecentro,"Cra. 16 #28 34, Bucaramanga, Santander, Colombia",+57 313 8513430,0,0,,0,,
Cortinas y Portones Eléctricos Nelson Rios,"Cl. 36 #22-51, Bucaramanga, Santander, Colombia",+57 315 4715427,0,0,,0,,
DRYWALL BUCARAMANGA SYSTEMDRYWALL,"#37126, Cra. 17, Bucaramanga, Santander, Colombia",+57 300 8366828,0,0,,0,,
D'MARINA KAWAII REPOSTERIA CON AMOR,"Cl. 36 ## 21-72, Bucaramanga, Santander, Colombia",+57 316 2737914,0,0,,0,,
Academia de Billares Continental,"Cra. 16 #37-86 Piso 2, Bucaramanga, Santander, Colombia",+57 7 6836142,0,0,,0,,
REGIA,"Cl. 34 ##20-09, Bucaramanga, Santander, Colombia",+57 313 2779011,0,0,,0,,
Duralum,"Cra. 19 #37-15, Bucaramanga, Santander, Colombia",+57 317 2724617,0,0,,0,,
Fabrica de Pijamas,"Cra. 33 #107a-2, Floridablanca, Santander, Colombia",+57 315 6010242,0,0,,0,,
La Casa del Secador y la Wahl,"C.C. Panamá, Cl. 37 #16-04 Local 248-242, Bucaramanga, Santander, Colombia",+57 317 2776524,0,0,,0,,
Motors Internationals S.A.S Carrera 16,"Av. Quebrada Seca #No. 16-30, Bucaramanga, Santander, Colombia",+57 7 6705690,0,0,,0,,
Arquialum,"Cl. 38 #20-63, Bucaramanga, Santander, Colombia",+57 7 6429279,0,0,,0,,
hielo en bloque y cubitos la feria,"Calle 11 # 3-31 la feria tel 6563630, Piedecuesta, Santander, Colombia",+57 312 4228309,0,0,,0,,
Punto de Fábrica Chiros Baby's,"Cl. 33 #17-06, Bucaramanga, Santander, Colombia",+57 7 6520452,0,0,,0,,
Tienda Evans ® Bucaramanga,"Cra. 15 ## 24-24, Bucaramanga, Santander, Colombia",607 6975020,0,0,,0,,
Almacén Reycol,"Cl. 22 ##14-49, Bucaramanga, Santander, Colombia",+57 7 6712753,0,0,,0,,
Labalime Laboratorio Bacteriológico De Alimentos SAS,"Cl. 33 #20-46, Bucaramanga, Santander, Colombia",607 6700506,0,0,,0,,
Calzado Yomar,"Cra. 15 #41-68, Bucaramanga, Santander, Colombia",+57 315 6934567,0,0,,0,,
Alsada Bucaramanga,"Cra. 24 #48-13, Bucaramanga, Santander, Colombia",+57 312 2633082,0,0,,0,,
Muebles DAJO,"Cra. 17f #60-23, Bucaramanga, Santander, Colombia",+57 305 3776346,0,0,,0,,
POLLOS BUCAROS,"Cra. 19 #42-18, Bucaramanga, Santander, Colombia",+57 7 6525016,0,0,,0,,
Aceros La Hormiga,"La Promoción, Cra. 18 #33-24 Local 6, Bucaramanga, Santander, Colombia",+57 7 6734401,0,0,,0,,
Cireles Colombia,"Cl. 34 #12-30, Bucaramanga, Santander, Colombia",+57 7 6422747,0,0,,0,,
Metal Office,"Calle 45 #2125 6525673-3166371091, Bucaramanga, Santander, Colombia",+57 316 6371091,0,0,,0,,
Pintasmas SAS,"Cl. 8 ### 20 - 41, Bucaramanga, Santander, Colombia",+57 7 6715988,0,0,,0,,
Bocadillos La Guabina,"Cra. 17 #23 - 12, Bucaramanga, Santander, Colombia",+57 7 6305491,0,0,,0,,
Metalicas Ramirez,"Cl. 45 #19-33, Bucaramanga, Santander, Colombia",+57 7 6803159,0,0,,0,,
Thermo Resistencias,"Cra. 17 ###41-67, Bucaramanga, Santander, Colombia",+57 321 2263945,0,0,,0,,
Yo Soy Jireh Accesorios,"Cl. 34 #22-47 Local 4, Bucaramanga, Santander, Colombia",+57 314 3917153,0,0,,0,,
🌟🌟🌟SOPORTES Y TENDEDEROS JORDAN EN BUCARAMANGA / FLORIDABLANCA 🌟🌟🌟,"Cl. 41 #20/10, Bucaramanga, Santander, Colombia",+57 310 6879330,0,0,,0,,
Cocinas integrales en Bucaramanga,"Cl. 14 ## 11-67, Bucaramanga, Santander, Colombia",+57 316 6225935,0,0,,0,,
Electro Resistencias,"Cra. 17 ##41-30, Bucaramanga, Santander, Colombia",+57 7 6873814,0,0,,0,,
Lanas E Hilos La Rueca,"CC Bessaravia, Cl. 34 #17-36 Local 104, Bucaramanga, Santander, Colombia",+57 7 6520602,0,0,,0,,
Organización Azuero S.A.S.,"Cl. 38 ##18-70, Bucaramanga, Santander, Colombia",+57 7 6459042,0,0,,0,,
EXTINTORES Y EQUIPOS CONTRA INCENDIO BUCARAMANGA,"Cra. 28 #45-45, Bucaramanga, Santander, Colombia",+57 319 7017959,0,0,,0,,
Refrisander,"Cra. 16 ## 41-65, Bucaramanga, Santander, Colombia",+57 310 8593871,0,0,,0,,
SPECIALIZED BUCARAMANGA,"Cl. 50 ## 28 40, Bucaramanga, Santander, Colombia",+57 7 6978522,0,0,,0,,
RABAC - Litografía y Distribuciones,"Cra. 21 ## 38-24, Bucaramanga, Santander, Colombia",+57 315 4238189,0,0,,0,,
Piedrería y Herrajes La 18,"Centro Comercial de la Fantasia, Cra. 18 #33-20 Local 11 Piso 1, Bucaramanga, Santander, Colombia",+57 7 6302374,0,0,,0,,
Abc Maquinas Y Repuestos de coser,"cra 21 # 35_47, Cra. 21 ##local 1, Bucaramanga, Santander, Colombia",+57 320 2627774,0,0,,0,,
III Milenio,"Cl. 37 ##24-31, Bucaramanga, Santander, Colombia",+57 7 6343471,0,0,,0,,
Magrisander H.C Ltda,"Parque Industrial de Bucaramanga, Bucaramanga, Santander, Colombia",+57 316 4951471,0,0,,0,,
Don Jacobo Postres y Ponques - Centro,"Cl. 37 ##17-42, Bucaramanga, Santander, Colombia",+57 320 3503938,0,0,,0,,
Tienda de Telas - Comertex Bucaramanga 1,"Cl. 37 ## 13 - 40, Bucaramanga, Santander, Colombia",+57 322 9653755,0,0,,0,,
SolyMar Fashion,"Cl. 37 ## 15 02, Bucaramanga, Santander, Colombia",+57 318 7756949,0,0,,0,,
Distripal Distribuidora de Papeleria,"Cl. 37 #19-06, Bucaramanga, Santander, Colombia",+57 7 6308263,0,0,,0,,
Acrylics & Announcements,"Cra. 24 #34-39, Bucaramanga, Santander, Colombia",607 6347227,0,0,,0,,
Kilo Encajes,"Cra. 17 #35-19, Bucaramanga, Santander, Colombia",+57 7 6524819,0,0,,0,,
"Motores para portones Electricos Merik, Lifmaster, BFT, Chamberlain, Craftsman","Posada de Santa Maria, Local 1, Cra. 21 ##38-48, Bucaramanga, Santander, Colombia",+57 315 4221206,0,0,,0,,
DISMADE CARPINTERÍA,"Carrera 33 # 70-30 Vía cementerio las colinas, Bucaramanga, Santander, Colombia",+57 313 2107818,0,0,,0,,
MACONFECCIÓN,"Cra. 21 #34-32, Bucaramanga, Santander, Colombia",+57 7 6303605,0,0,,0,,
Provequimicos,"Cra. 22 #32-37, Bucaramanga, Santander, Colombia",+57 7 6352210,0,0,,0,,
Dulcería Doña Mireya,"Cra 23 ##34-66, Bucaramanga, Santander, Colombia",607 6455719,0,0,,0,,
Eliecer Vásquez Joyería,"Local 307 Calle 34 # 18 - 61, Bucaramanga, Santander, Colombia",+57 310 3028650,0,0,,0,,
EXTINTORES AAA,"Cra. 21 #3646, Bucaramanga, Santander, Colombia",+57 317 4041143,0,0,,0,,
Litografia Unión Impresores / Bucaramanga,"Av. la Rosita #24-94, Bucaramanga, Santander, Colombia",607 6817145,0,0,,0,,
Cajas Fuertes Arana,"Cra. 21 #36 - 36, Bucaramanga, Santander, Colombia",+57 7 6704292,0,0,,0,,
MSA LTDA Bucaramanga,"Cra. 17 #42 - 14, Bucaramanga, Santander, Colombia",+57 7 6178151,0,0,,0,,
593 Impresores,"Cra. 20 #37-95, Bucaramanga, Santander, Colombia",+57 7 6963493,0,0,,0,,
HYPERCENTER CROWN LA ROSITA,"Carrera 17 #N.47-47, Bucaramanga, Santander, Colombia",+57 312 4440454,0,0,,0,,
Cartons Bucaramanga,"Cra. 17 #5114, Bucaramanga, Santander, Colombia",+57 7 6978287,0,0,,0,,
DISTRIARTE,"Cl. 33 #23-55, Bucaramanga, Santander, Colombia",+57 7 6800695,0,0,,0,,
TarjetasInnovadoras.com - Imprenta Tipografía - Tienda OnLine - Publicidad - Taller Creativo en Bucaramanga para Colombia,"Cl. 36 ##1319, Bucaramanga, Santander, Colombia",+57 315 2311514,0,0,,0,,
El Virrey Galeria,"Cl. 34 #18-79, Bucaramanga, Santander, Colombia",+57 7 6422726,0,0,,0,,
Tecnimaquinas,"Cra 21#35-17, Bucaramanga, Santander, Colombia",+57 311 8048139,0,0,,0,,
Eslat kids,"Cra. 17 #33_79, Bucaramanga, Santander, Colombia",+57 318 3907622,0,0,,0,,
Vinilos Decorativos Eco Monkey Publicidad,"Cl. 41 #16 65, Bucaramanga, Santander, Colombia",+57 313 7146622,0,0,,0,,
Colchones San Sebastian,"Cl. 36 ##22-25, Bucaramanga, Santander, Colombia",+57 7 6453688,0,0,,0,,
Confecciones,"Cra. 27 #16-21, Bucaramanga, Santander, Colombia",+57 311 8487252,0,0,,0,,
SELLOS TITAN BUCARAMANGA,"Cl. 42 #15-85, Bucaramanga, Santander, Colombia",+57 7 6833157,0,0,,0,,
Calzado San Francisco,"Clle 19#21-31 sanfrancisco, Cl. 19, Bucaramanga, Santander, Colombia",+57 321 9481586,0,0,,0,,
Calzado Inca,"Cra. 20 #2248, Bucaramanga, Santander, Colombia",+57 317 4027963,0,0,,0,,
Muebles Napole,"Cl. 38 #18-11 Piso 3, Bucaramanga, Santander, Colombia",+57 322 6483176,0,0,,0,,
compucam,"carrera 19, 3158311884 ##41-51, Bucaramanga, Santander, Colombia",+57 315 8311884,0,0,,0,,
Hermes House ltda,"Cra. 17 #36-23, Bucaramanga, Santander, Colombia",+57 7 6804444,0,0,,0,,
World Blouse,"Cl. 34 #17-71, Bucaramanga, Santander, Colombia",+57 7 6703122,0,0,,0,,
Musical R. Cruz,"Cra 23 ###34-54, Bucaramanga, Santander, Colombia",+57 7 6453121,0,0,,0,,
CROWN PUERTA DEL SOL INSPIRATION CENTER,"Esquina, Carrera 26 No. 64 - 73 Carrera 27 calle 65, Bucaramanga, Santander, Colombia",+57 312 4440442,0,0,,0,,
Musical The Bogotana,"Edificio La Bogotana, Cl. 42 ##17-11, Bucaramanga, Santander, Colombia",+57 7 6525794,0,0,,0,,
Teddies Los Rosales,"Cl. 41 #17-42, Bucaramanga, Santander, Colombia",+57 7 6337279,0,0,,0,,
Acueducto Metropolitano De Bucaramanga AMB,"Cl. 32 #30a51, Bucaramanga, Santander, Colombia",+57 7 6320220,0,0,,0,,
El P de la Lycra,"Cl. 34 #18-33, Bucaramanga, Santander, Colombia",+57 7 6706927,0,0,,0,,
La Malagueña.,"Cl. 34 ##20-51, Bucaramanga, Santander, Colombia",+57 7 6424637,0,0,,0,,
Aviltex S.A.S. Linea Sport,"Centro Comercial Centro Plaza, Cra. 17 #33-51 local 109, Bucaramanga, Santander, Colombia",+57 7 6707416,0,0,,0,,
Muebles J.L.G.,"Cl. 41 #18-39, Bucaramanga, Santander, Colombia",+57 7 6335218,0,0,,0,,
Servites Electronic,"Cra. 18 #36-64 Local 12 Piso 1, Bucaramanga, Santander, Colombia",+57 7 6803987,0,0,,0,,
Guitarras Andalucía,"Cl. 45 #18 35, Bucaramanga, Santander, Colombia",+57 7 6704393,0,0,,0,,
DATA&COM S.A.S,"Cl. 37 ## 17-17, Bucaramanga, Santander, Colombia",+57 301 5663170,0,0,,0,,
The Spanish Grand,"Cl. 42 #18-39, Bucaramanga, Santander, Colombia",+57 7 6427052,0,0,,0,,
"Técnico en Cámaras de seguridad, redes y soporte","C.C. Omnicentro, Bucaramanga Santander, carrera 17, entre calle 36 y 37, Santander, Colombia",+57 312 5231519,0,0,,0,,
Mundo Bikers Bucaramanga,"Cra. 33 ##36-40, Bucaramanga, Santander, Colombia",+57 318 8655587,0,0,,0,,
Alpargatos,"Bucaramanga, Santander, Colombia",+57 319 6587459,0,0,,0,,
"Portones Electricos Bucaramanga, Portones automaticos en Bucaramanga, reparacion de portones","Cl. 47 ##No. 22 - 35, Bucaramanga, Santander, Colombia",+57 318 8752050,0,0,,0,,
Values ​​conveyor Atlas - Bucaramanga,"Sucursal Bucaramanga, Cra. 19 ## 28 - 29 Ofi 101, Bucaramanga, Santander, Colombia",+57 7 6333636,0,0,,0,,
Arte y Deko,"Cl. 37 #17-25, Bucaramanga, Santander, Colombia",+57 7 6802248,0,0,,0,,
La Clínica del Colchón,"Cl. 39 #19-72, Bucaramanga, Santander, Colombia",+57 7 6349988,0,0,,0,,
Cables y Mas Bucaramanga,"Local 140 C.C. Bucacentro, Cl. 33 #18-36, Bucaramanga, Floridablanca, Santander, Colombia",+57 301 4923496,0,0,,0,,
Electrónicas D.C Ltda,"Cra. 19 ##33-23, Bucaramanga, Santander, Colombia",+57 7 6525426,0,0,,0,,
Grand Baron,"Cl. 36 #18-74 Local 22, Bucaramanga, Santander, Colombia",+57 7 6338707,0,0,,0,,
Carnes Santa Cruz,"Cra. 18 #34-53, Bucaramanga, Santander, Colombia",+57 7 6971414,0,0,,0,,
Restaurante Asadero Casa Kioto,"Cl. 34 #17-78, Bucaramanga, Santander, Colombia",607 6700510,0,0,,0,,
CENTROPUERTAS,"LC 12 Calle 37 22-27, Bucaramanga, Santander, Colombia",+57 7 6803309,0,0,,0,,
Santo Jeans Bucaramanga,"Cl. 35 #17-18, Bucaramanga, Santander, Colombia",6424030,0,0,,0,,
